Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GraphQLText/mythology,1.5198982780593555e-3,1.3903014401733269e-3,1.8715248039685435e-3,6.330513582382876e-4,2.901903153586292e-4,1.0887214186313485e-3
GraphQLText/descriptions,1.5452464900938816e-2,1.3988957532997136e-2,1.803345891316333e-2,4.369140039902689e-3,2.3928370765233693e-3,6.288495601166047e-3
GraphQLText/starWars,0.1428724078218939,0.11335051500936402,0.18104122098751152,5.372141338578632e-2,4.136961634105129e-2,7.140053554369674e-2
MorpheusText/mythology,7.648387595091777e-4,7.407678335568177e-4,7.999945868910021e-4,1.0914780168931569e-4,8.664877318986352e-5,1.4876724293113856e-4
MorpheusText/descriptions,2.5738100624404327e-2,2.2991437463687443e-2,3.3196901966956516e-2,1.0440051533373176e-2,1.333465727663262e-3,1.901951433947293e-2
MorpheusText/starWars,7.80905617485096e-2,6.742416933982895e-2,0.10068299556552451,2.3358882797665948e-2,6.181027960042093e-3,2.9797750162760223e-2
MorpheusByteString/mythology,1.1141901845578145e-3,8.501042774996321e-4,1.6547109145877122e-3,1.321487051240143e-3,4.1786717033607287e-4,2.2397278128060446e-3
MorpheusByteString/descriptions,2.5304693856319446e-2,2.415514492761188e-2,2.6782033043126582e-2,2.8208560226496682e-3,2.1173946375894087e-3,4.003030661575707e-3
MorpheusByteString/starWars,7.190894392191018e-2,6.928721856226289e-2,7.640936223770217e-2,6.516154136756686e-3,4.400930113633828e-3,9.490428963146051e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GraphQLText/mythology,1.3071956024996434e-3,1.2160700337239543e-3,1.4776637150671593e-3,4.1268445127453496e-4,2.3090783747197263e-4,5.929468672073787e-4
GraphQLText/descriptions,1.4279630043589439e-2,1.2772562456071713e-2,1.769703918315605e-2,5.272211918406075e-3,2.560958563448794e-3,7.926679833751367e-3
GraphQLText/starWars,9.769592489049307e-2,9.47119150236003e-2,0.1018070311500488,5.394316794576082e-3,3.498939179794065e-3,7.648466061491317e-3
Morpheus/Text/mythology,6.91321938798918e-4,6.817087206178167e-4,7.05858547424727e-4,4.183617554523833e-5,3.2186392857865556e-5,5.24454274788291e-5
Morpheus/Text/descriptions,2.223292787185503e-2,2.182558303786944e-2,2.2638876469235184e-2,9.26608649153731e-4,6.93258221942294e-4,1.2347084495315695e-3
Morpheus/Text/starWars,6.471647218385633e-2,6.363898069432672e-2,6.682428664385733e-2,2.445466404928923e-3,1.5289460139882253e-3,3.0773625612835922e-3
Morpheus/ByteString/mythology,7.586844969239755e-4,6.978686643945206e-4,8.817653039429091e-4,3.034038304848479e-4,1.2861685723340152e-4,4.897900078284248e-4
Morpheus/ByteString/descriptions,2.9374790411728646e-2,2.606816473889339e-2,3.580769064777182e-2,1.0106919101420614e-2,4.779342807547391e-3,1.6012866090888072e-2
Morpheus/ByteString/starWars,6.939351402995103e-2,6.604172493673136e-2,7.444458034802029e-2,6.488157932856803e-3,3.58125581877376e-3,1.0323901464251767e-2
